movieId,imdbId,tmdbId,movieId,title
1,114709,862,1,Toy Story
2,113497,8844,2,Jumanji
3,113228,15602,3,Grumpier Old Men
4,114885,31357,4,Waiting to Exhale
5,113041,11862,5,Father of the Bride Part II
6,113277,949,6,Heat
7,114319,11860,7,Sabrina
8,112302,45325,8,Tom and Huck
9,114576,9091,9,Sudden Death
10,113189,710,10,GoldenEye
11,112346,9087,11,The American President
12,112896,12110,12,Dracula: Dead and Loving It
13,112453,21032,13,Balto
14,113987,10858,14,Nixon
15,112760,1408,15,Cutthroat Island
16,112641,524,16,Casino
17,114388,4584,17,Sense and Sensibility
18,113101,5,18,Four Rooms
19,112281,9273,19,Ace Ventura: When Nature Calls
20,113845,11517,20,Money Train
21,113161,8012,21,Get Shorty
22,112722,1710,22,Copycat
23,112401,9691,23,Assassins
24,114168,12665,24,Powder
25,113627,451,25,Leaving Las Vegas
26,114057,16420,26,Othello
27,114011,9263,27,Now and Then
28,114117,17015,28,Persuasion
29,112682,902,29,The City of Lost Children
30,115012,37557,30,Shanghai Triad
31,112792,9909,31,Dangerous Minds
32,114746,63,32,Twelve Monkeys
33,114952,78802,33,Wings of Courage
34,112431,9598,34,Babe
35,112637,47018,35,Carrington
36,112818,687,36,Dead Man Walking
37,112286,139405,37,Across the Sea of Time
38,113442,33689,38,It Takes Two
39,112697,9603,39,Clueless
40,112749,34615,40,"Cry, the Beloved Country"
41,114279,31174,41,Richard III
42,112819,11443,42,Dead Presidents
43,114272,35196,43,Restoration
44,113855,9312,44,Mortal Kombat
45,114681,577,45,To Die For
46,113347,11861,46,How To Make An American Quilt
47,114369,807,47,Se7en
48,114148,10530,48,Pocahontas
49,114916,8391,49,When Night Is Falling
50,114814,629,50,The Usual Suspects
51,109950,117164,51,Guardian Angel
52,113819,11448,52,Mighty Aphrodite
53,110299,49133,53,Lamerica
54,112499,26441,54,The Big Green
55,113158,97406,55,Georgia
56,113541,124057,56,Kids of the Round Table
57,113321,9089,57,Home for the Holidays
58,110877,11010,58,The Postman
59,112714,99040,59,The Confessional
60,113419,11359,60,The Indian in the Cupboard
61,116260,17182,61,Eye for an Eye
62,113862,2054,62,Mr. Holland's Opus
63,116126,10607,63,Don't Be a Menace to South Central While Drinking Your Juice in the Hood
64,118002,19760,64,Two If by Sea
65,115683,9536,65,Bio-Dome
66,116839,11525,66,Lawnmower Man 2: Beyond Cyberspace
67,114753,40628,67,Two Bits
68,113149,4482,68,French Twist
69,113118,10634,69,Friday
70,116367,755,70,From Dusk Till Dawn
71,113010,11859,71,Fair Game
72,113537,28387,72,Kicking and Screaming
73,113828,48750,73,Les Miserables
74,115644,20927,74,Bed of Roses
75,115676,36929,75,Big Bully
76,114367,9102,76,Screamers
77,113973,124626,77,Nico Icon
78,112744,27526,78,The Crossing Guard
79,116731,9623,79,The Juror
80,112445,46785,80,The White Balloon
81,114660,400,81,Things to Do in Denver When You're Dead
82,112379,880,82,Antonia's Line
83,114039,146599,83,Once Upon a Time... When We Were Colored
84,113612,188588,84,Last Summer in the Hamptons
85,112365,8447,85,Angels and Insects
86,118158,10534,86,White Squall
87,116151,17414,87,Dunston Checks In
88,115697,13997,88,Black Sheep
89,113972,2086,89,Nick of Time
90,113490,61548,90,The Journey of August King
92,117002,9095,92,Mary Reilly
